address,huanjing,jiage,louceng,mianji,shi,ting,title,xqname
高新区-科技西路 科技路82号,"合租,朝南,有电梯,3号线",600,高层(共33层)                                                            ,20,3,2,免押金直租丈八北路地铁口 枫韵蓝湾都市印象高新医院西安全房源,城市风景都市印象
"高新区-大寨路 创新路,近大寨路","合租,朝南,有电梯,3/5号线",720,高层(共34层)                                                            ,21,3,1,可月付 金光门地铁口 太和时代广场 主卧朝南落地窗 牡丹庄园,融侨城(东区一期)
高新区-大寨路 团结南路,"合租,朝南,有电梯,3/5号线",600,低层(共25层)                                                            ,30,3,2,女生合租 精装主卧融侨城牡丹庄园雅逸花园太和时代广场金辉国际,融侨城(西区二三四期)
高新区-高新路 唐延路39号,"合租,朝南,有电梯,6号线",900,低层(共28层)                                                            ,31,3,2,实拍 木塔寺地铁口 冠城国际 旺座现代城 洛克大厦 尚品国际,冠城国际
高新区-木塔寺公园 高新路88号,"合租,朝北,有电梯,6号线",699,中层(共18层)                                                            ,30,2,1,木塔寺地铁口 科技六路 枫林绿洲 新长安广场 唐延南路 旺座,尚品国际
高新区-高新一中 科技二路,"合租,朝南,有电梯,3/6号线",799,高层(共30层)                                                            ,25,2,2,甘家寨地铁口 科技二路 高新路 泰华金贸 文理学院 太白南路,名城天下
高新区-鱼化寨 鱼斗路,"合租,朝南,有电梯",500,高层(共32层)                                                            ,29,3,2,无中介费环普 欧森国际 中软国际 新加腾飞坡科汇 科技二路,兴贺佳苑
"高新区-大寨路 丰盛路,近大寨路","合租,朝南,有电梯,3/5号线",699,高层(共35层)                                                            ,27,3,2,鱼化寨地铁口 环普华为 欧森国际 软件新城 数字出版基地,华洲城天峰
"高新区-科技路西口 高新六路,近科技路","合租,朝南,有电梯,3号线",800,低层(共26层)                                                            ,30,2,1,丈八北路，高新医院，伟业公馆，枫韵蓝湾，有公用厨房主卧朝南,米罗蓝山
"高新区-科技六路 丈八四路,近丈八西路","合租,朝南,有电梯,6号线",450,低层(共30层)                                                            ,16,3,1,陕铁大厦 富华大厦 星河运动公园 陕旅集团 正恒金融广场,丈八家园
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",680,低层(共33层)                                                            ,28,4,1,月付 西安软件园 新长安广场 丈八北路 茶张馨苑 国宾中央区,保利双水磨小区
高新区-逸翠园 锦业二路10号,"合租,朝南,有电梯,6号线",650,中层(共31层)                                                            ,21,3,2,月付短租 逸翠园 泰维智链 中兴产业园 中投国际 绿地中心,逸翠园(别墅)
高新区-锦业路 锦业路36号,"合租,朝南,有电梯,6号线",450,中层(共28层)                                                            ,15,3,2,月付可短租都市之门绿地中心华陆大厦六号线丈八一路锦业时代领海,旗远锦樾
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",600,低层(共28层)                                                            ,30,5,2,月付 科技四路 南窑头 绿港花园 立人科技 九鼎城 实墙卧室,绿港花园
高新区-科技六路 双水磨路,"合租,南北,有电梯,6号线",699,低层(共33层)                                                            ,28,5,0,实拍月付科技六路西安软件园立人科技保利双水磨精美单间拎包入住,保利双水磨小区
高新区-高新路 唐延路39号,"合租,朝南,有电梯,6号线",805,低层(共28层)                                                            ,35,3,2,月付 全女生 新长安广场 橡树街区 带厨房 冠城国际洛克大厦,冠城国际
高新区-高新一中 博文路9号,"合租,朝南,有电梯,3/6号线",830,低层(共16层)                                                            ,35,3,2,可短租 可月付 地铁6号线 中大国际 甘家寨 盛世华庭,盛世华庭
高新区-科技六路 高新路1219号,"合租,朝南,有电梯,6号线",699,高层(共35层)                                                            ,26,3,2,省体育馆地铁口 锦业路 中铁西安 蓝海大厦 高新万达丈八一路,万达天樾
高新区-高新一中 科技二路,"合租,朝南,有电梯,3/6号线",850,中层(共26层)                                                            ,20,3,1,甘家寨地铁口 科技二路 科创路 领先时代广场 文理学院水晶城,名城天下
高新区-科技路西口 唐兴路21号,"合租,朝南,有电梯,3号线",850,中层(共30层)                                                            ,20,3,1,可月付 都市春天 丈八北路地铁口 西辛庄 高新医院 外事学院,都市春天
高新区-锦业路 锦业二路86号,"合租,朝南,有电梯,6号线",750,高层(共29层)                                                            ,20,2,2,实拍月付丈八六路 数字经济园 长盛科技园 神州数码 信凯大厦,海棠别馆
高新区-大寨路 大寨路,"合租,南北,有电梯,5号线",500,高层(共32层)                                                            ,25,3,1,鱼化寨地铁口 环普 大寨路 铭城 中航华府 押一付一 月付,铭城(东区)
高新区-唐延路 科技四路2号,"合租,朝南,有电梯,6号线",860,低层(共12层)                                                            ,28,3,2,可月付短租 木塔寺地铁口 科技四路 旺座现代城 洛克大厦,天地源枫林绿洲
高新区-鱼化寨 鱼斗路,"合租,朝南,有电梯",500,中层(共26层)                                                            ,28,3,1,月付直租 环普产业园 中软欧森华为 华大讯飞软件新城 雷家寨,兴贺佳苑
高新区-大寨路 科技路298号,"合租,朝南,有电梯,3/5号线",650,低层(共33层)                                                            ,25,3,1,可短租 延平门 丈八北路双地铁 高新医院 响塘文苑 可做饭,响塘文苑
高新区-高新一中 高新二路,"合租,朝南,有电梯,3/6号线",600,低层(共25层)                                                            ,20,3,2,月付可短租无中介科技路延平门禾盛京广卜蜂莲花甘家寨新西蓝,枫叶别墅苑
"高新区-锦业路 丈八六路,近科技八路","合租,朝南,有电梯,6号线",800,中层(共33层)                                                            ,35,3,2,月付丈八六路地铁口 华为万家灯火 尚品美地城 龙天名俊半导体,盛泽万家灯火
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",600,高层(共32层)                                                            ,15,5,0,直租单间  保利双水磨 科技五路 无押金,保利双水磨小区
高新区-昆明路 昆明路甲330号,"合租,朝南,有电梯,5号线",900,高层(共32层)                                                            ,20,3,1,首月免租金 汉城南路地铁口 金辉悦府  昆明花园 直租无中介,金辉悦府
高新区-大寨路 大寨路99号,"合租,朝南,有电梯,3/5号线",800,中层(共33层)                                                            ,29,3,2,押一付一大寨路恒大城 铭城国际 东方米兰 单间点击头像查看,恒大城
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",680,中层(共33层)                                                            ,18,4,1,丈八北路地铁口 大寨路 科技路西口 金辉高新云璟 月付直租,金辉高新云璟
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",810,低层(共27层)                                                            ,26,3,1,科技四路 绿港花园 高新医院 软件园 立人科技 精装 可月付,绿港花园
高新区-大寨路 大寨路2号,"合租,朝南,有电梯,3/5号线",600,中层(共33层)                                                            ,23,3,2,押一付一 丈八北路地铁口 融侨城 安琪儿医院 主卧带阳台,东方米兰
高新区-科技路 团结南路2号,"合租,朝南,有电梯,3号线",600,中层(共32层)                                                            ,28,3,2,延平门地铁口 高科新花园 枫叶新都市 中华世纪城 新西蓝,高科新花园
高新区-鱼化寨 鱼斗路,"合租,朝南,有电梯",600,中层(共32层)                                                            ,26,2,1,直租月付 环普 中软欧森 华为腾飞 阿里巴巴 软件新城雷家寨,兴贺佳苑
高新区-大寨路 科技路298号,"合租,朝南,有电梯,3/5号线",800,中层(共32层)                                                            ,30,3,1,丈八北路地铁 科技路西口 大寨路 响塘文苑主卧阳台 可月付,响塘文苑
高新区-唐延路 沣惠南路2号,"合租,朝南,有电梯,3号线",800,中层(共12层)                                                            ,28,3,2,押一付一 延平门地铁口 团结南路 枫叶新都市 高新医院 全配,枫叶新都市
高新区-木塔寺公园 高新路88号,"合租,朝南,有电梯,6号线",710,中层(共28层)                                                            ,16,3,1,木塔寺地铁口 旺座现代城 两室一卫 枫林绿洲 望庭国际,尚品国际
高新区-逸翠园 锦业二路10号,"合租,朝南,有电梯,6号线",600,中层(共26层)                                                            ,30,3,2,中兴产业园 高新第五季 南沈新苑 海亮新英里 逸翠园月付直租,逸翠园(别墅)
高新区-大寨路 科技路298号,"合租,朝南,有电梯,3/5号线",800,高层(共34层)                                                            ,28,3,1,可月付 丈八北路地铁口 中华世纪城 高新医院 中晶科技广场,响塘文苑
高新区-科技六路 团结南路,"合租,朝南,有电梯,6号线",800,中层(共30层)                                                            ,25,3,1,新长安广场 唐延路 软件园 团结南路 双水磨附近合租房直租,南窑头社区西区
高新区-大寨路 大寨路2号,"合租,朝南,有电梯,3/5号线",950,中层(共34层)                                                            ,30,2,1,大寨路 东方米兰 两室合租 全女 晶鑫华庭 融侨城 可月付,东方米兰
高新区-丈八西路 丈八四路,"合租,朝南,有电梯,6号线",900,高层(共35层)                                                            ,26,5,0,丈八四路地铁口 陕西大会堂 嘉昱大厦 丈八一号 朝南卧室,丈八一号
高新区-丈八东路 天谷五路,"合租,朝南,有电梯",600,低层(共34层)                                                            ,25,3,2,实图月付环普，中软 ，阿里巴巴，数字出版科技，欧森国际精装修,苏宁雲著
高新区-大寨路 团结南路,"合租,朝南,有电梯,3/5号线",720,高层(共33层)                                                            ,35,3,2,延平门  太和时代广场 融侨城二期 主卧带大阳台 随时住,融侨城(西区二三四期)
高新区-丈八西路 丈八四路,"合租,朝南,有电梯,6号线",749,中层(共26层)                                                            ,26,3,1,丈八四路地铁口 华为 锦业时代 蓝海大厦 华陆大厦 嘉昱大厦,丈八一号
高新区-都市之门 太白南路39号,"整租,南北,有电梯,6号线",2600,中层(共33层)                                                            ,95,2,2,丈八一路 锦业时代 华陆大厦 英华达 中兴产业园 绿地逸翠园,天正幸福里
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,5号线",650,低层(共30层)                                                            ,25,3,1,大寨路 铭城国际 金域牟嘉 南北通透 交通便利 可月付,金域牟嘉
高新区-都市之门 太白南路39号,"合租,朝南,有电梯,6号线",450,中层(共31层)                                                            ,20,3,1,天正幸福里 锦业时代 中投国际 锦业路 丈八一路 陕煤小区,天正幸福里
高新区-丈八西路 丈八四路,"合租,朝南,有电梯,6号线",800,低层(共33层)                                                            ,21,5,0,丈八四路 现代企业中心 罗马景福城 丈八一号 精装主卧月付,丈八一号
高新区-唐延路 科技四路2号,"合租,朝南,有电梯,6号线",820,低层(共16层)                                                            ,23,3,1,木塔寺地铁口 旺座现代城 实墙主卧带独立卫浴 科技四路,天地源枫林绿洲
高新区-唐延路 沣惠南路2号,"合租,朝南,有电梯,3号线",800,中层(共14层)                                                            ,28,3,2,3号线延平门站 中晶科技 高新医院 汇诚国际 旺座国际 实拍,枫叶新都市
高新区-唐延路 科技四路2号,"合租,朝南,有电梯,6号线",800,低层(共30层)                                                            ,20,3,1,无杂费 可月付 木塔寺 甘家寨 省体育馆 科技二路 高新万达,天地源枫林绿洲
"高新区-科技路西口 科技路,近高新六路","合租,朝南,有电梯,3/5号线",700,中层(共30层)                                                            ,25,3,1,丈八北路地铁口都市印象枫韵蓝湾高新医院伟业公馆中晶科技广场,铂悦
"高新区-科技路西口 科技路,近丈八北路","合租,朝南,有电梯,3/5号线",600,高层(共32层)                                                            ,20.2,3,1,可月付免租一月 丈八北路地铁口 外事学院 华润万家 主卧独卫,都市印象SOLO街区
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",999,中层(共32层)                                                            ,40,2,2,科技四路 绿港花园 超大主卧带阳台 立人科技 南窑头,绿港花园
高新区-科技路 科技路20号,"合租,朝南,有电梯,3/5/6号线",600,中层(共30层)                                                            ,30,3,1,全女生可以做饭免押金  太白小区 文理学院 萨菲尔 甘家寨,萨菲尔名邸
高新区-科技路西口 科技路299号,"合租,朝南,有电梯,3号线",890,低层(共28层)                                                            ,26,2,1,白领公寓 丈八北路 伟业公馆 枫韵蓝湾 天朗蓝湖树 可做饭,伟业公馆
高新区-锦业路 锦业路36号,"合租,朝南,有电梯,6号线",450,中层(共32层)                                                            ,19,3,2,月付 西安软件园 都市之门 宝德云谷 锦业时代 龙旗科技园,旗远锦樾
高新区-唐延路 科技四路2号,"合租,朝南,有电梯,6号线",950,低层(共30层)                                                            ,26,3,2,实拍 女神房 干净卫生 木塔寺 兰岛广场 香榭兰岛 枫林绿洲,天地源枫林绿洲
高新区-唐延路 沣惠南路2号,"合租,朝南,有电梯,3号线",600,低层(共26层)                                                            ,32,3,2,可月付（枫叶新都市）紫薇臻品 国熙台可做饭 陈家庄 高新医院,枫叶新都市
高新区-科技路西口 科技路299号,"合租,南北,有电梯,3号线",650,高层(共33层)                                                            ,30,3,2,厨房套间阳台 金辉高新云璟 陈家庄小区 伟业公馆 天朗蓝湖树,伟业公馆
高新区-都市之门 太白南路39号,"整租,南北,有电梯,6号线",2450,中层(共33层)                                                            ,109,2,2,中兴产业园 绿地都市之门 锦业时代 逸翠园 华陆大厦 软件园,天正幸福里
高新区-大寨路 大寨路,"合租,朝南,有电梯,3/5号线",880,中层(共33层)                                                            ,25,3,2,首月免租金可短租 无中介 鱼化寨地铁口恒大城 大寨路中航华府,中航华府
高新区-都市之门 太白南路39号,"整租,南北,有电梯,6号线",2600,中层(共33层)                                                            ,109,2,2,丈八一路 省体育馆 高新万达 华陆大厦 软件园 英华达,天正幸福里
高新区-大寨路 科技路298号,"合租,朝南,有电梯,3/5号线",900,高层(共30层)                                                            ,25,3,1,丈八北路地铁口 团结南路 枫韵蓝湾 可短租可押一付一 科技路,响塘文苑
高新区-科技六路 科技六路23号,"合租,朝南,有电梯,6号线",450,低层(共31层)                                                            ,20,3,1,南窑头社区西区 数字生活 保利天悦一期 旺座现代城 橡树街区,数字空间
高新区-高新路 高新路45号,"合租,朝南,有电梯,3/5/6号线",700,中层(共31层)                                                            ,18,3,1,六号线 科技路地铁口 枫叶高层 甘家寨 延平门 咖啡街区,枫叶高层
